id,name,url,test_type,duration_mins,skills,description
26,Occupational Personality Questionnaire Opq32R,https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,P,35,General Skills,Personality and behavioral assessment evaluating traits for Occupational Personality Questionnaire Opq32R
27,Search Engine Optimization New,https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/,K,30,General Skills,Technical skills assessment measuring knowledge and proficiency in Search Engine Optimization New
28,Automata Selenium,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,K,30,Selenium,Technical skills assessment measuring knowledge and proficiency in Automata Selenium
29,Professional 7 1 Solution,https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,K,30,General Skills,Technical skills assessment measuring knowledge and proficiency in Professional 7 1 Solution
30,Javascript New,https://www.shl.com/solutions/products/product-catalog/view/javascript-new/,K,35,"Java, JavaScript",Technical skills assessment measuring knowledge and proficiency in Javascript New
31,Htmlcss New,https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,K,30,General Skills,Technical skills assessment measuring knowledge and proficiency in Htmlcss New
32,Css3 New,https://www.shl.com/solutions/products/product-catalog/view/css3-new/,K,30,General Skills,Technical skills assessment measuring knowledge and proficiency in Css3 New
33,Selenium New,https://www.shl.com/solutions/products/product-catalog/view/selenium-new/,K,30,Selenium,Technical skills assessment measuring knowledge and proficiency in Selenium New
34,Sql Server New,https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/,K,35,SQL,Technical skills assessment measuring knowledge and proficiency in Sql Server New
35,Automata Sql New,https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,K,35,SQL,Technical skills assessment measuring knowledge and proficiency in Automata Sql New
36,Manual Testing New,https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/,K,30,General Skills,Technical skills assessment measuring knowledge and proficiency in Manual Testing New
37,Administrative Professional Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,K,20,General Skills,Technical skills assessment measuring knowledge and proficiency in Administrative Professional Short Form
38,Verify Numerical Ability,https://www.shl.com/solutions/products/product-catalog/view/verify-numerical-ability/,A,30,General Skills,Cognitive ability test measuring reasoning and problem-solving for Verify Numerical Ability
39,Financial Professional Short Form,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,K,20,General Skills,Technical skills assessment measuring knowledge and proficiency in Financial Professional Short Form
40,Bank Administrative Assistant Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,K,20,General Skills,Technical skills assessment measuring knowledge and proficiency in Bank Administrative Assistant Short Form
41,General Entry Level Data Entry 7 0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,K,20,Data Entry,Technical skills assessment measuring knowledge and proficiency in General Entry Level Data Entry 7 0 Solution
42,Basic Computer Literacy Windows 10 New,https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,K,30,General Skills,Technical skills assessment measuring knowledge and proficiency in Basic Computer Literacy Windows 10 New
43,Manager 8 0 Jfa 4310,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,K,30,General Skills,Technical skills assessment measuring knowledge and proficiency in Manager 8 0 Jfa 4310
44,Microsoft Excel 365 Essentials New,https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/,K,30,Excel,Technical skills assessment measuring knowledge and proficiency in Microsoft Excel 365 Essentials New
45,Digital Advertising New,https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,K,30,General Skills,Technical skills assessment measuring knowledge and proficiency in Digital Advertising New
46,Writex Email Writing Sales New,https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-sales-new/,B,30,Sales,Situational judgment test assessing decision-making for Writex Email Writing Sales New
47,Shl Verify Interactive Numerical Calculation,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-calculation/,A,30,General Skills,Cognitive ability test measuring reasoning and problem-solving for Shl Verify Interactive Numerical Calculation
48,Professional 7 1 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,K,30,General Skills,Technical skills assessment measuring knowledge and proficiency in Professional 7 1 Solution
49,Sql Server Analysis Services (Ssas) (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/,K,35,SQL,Technical skills assessment measuring knowledge and proficiency in Sql Server Analysis Services (Ssas) (New)
50,Python New,https://www.shl.com/solutions/products/product-catalog/view/python-new/,K,35,Python,Technical skills assessment measuring knowledge and proficiency in Python New
51,Tableau New,https://www.shl.com/solutions/products/product-catalog/view/tableau-new/,K,30,General Skills,Technical skills assessment measuring knowledge and proficiency in Tableau New
52,Microsoft Excel 365 New,https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-new/,K,30,Excel,Technical skills assessment measuring knowledge and proficiency in Microsoft Excel 365 New
53,Professional 7 0 Solution 3958,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,K,30,General Skills,Technical skills assessment measuring knowledge and proficiency in Professional 7 0 Solution 3958
54,Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,K,30,General Skills,Technical skills assessment measuring knowledge and proficiency in Data Warehousing Concepts
